  ArrayTaskID    alpha    beta    walker_wl    overlap_wl    seed_hist    seed_run    num_interactions    replica_exchange_steps    intervals_main    iterations    time_limit    histogram_scale    qubit_specific_noise    num_loops    num_walker_prerun    num_intervals_prerun    error_mean    error_variance    prob_x_err    prob_y_err    prob_z_err    x    y    xh_err    xv_err    zh_err    zv_err
            1      0.8   1e-08            4          0.25            1           1                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         0         0         0         0
            2      0.8   1e-08            4          0.25            1           2                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         0         0         0         1
            3      0.8   1e-08            4          0.25            1           3                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         0         0         1         0
            4      0.8   1e-08            4          0.25            1           4                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         0         0         1         1
            5      0.8   1e-08            4          0.25            1           5                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         0         1         0         0
            6      0.8   1e-08            4          0.25            1           6                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         0         1         0         1
            7      0.8   1e-08            4          0.25            1           7                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         0         1         1         0
            8      0.8   1e-08            4          0.25            1           8                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         0         1         1         1
            9      0.8   1e-08            4          0.25            1           9                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         1         0         0         0
           10      0.8   1e-08            4          0.25            1          10                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         1         0         0         1
