  ArrayTaskID    alpha    beta    walker_wl    overlap    seed_hist    seed_run    num_interactions    replica_exchange_offset    boundary_type    intervals_wl    iterations    time_limit    num_loops    num_walker_prerun    num_intervals_prerun    probability    x    y  error_type
            1      0.8   1e-06            8       0.25            1          42                2000                         20                0              10          1000          3600         1000                  500                      30           0.1     4    4  I
            2      0.8   1e-06            8       0.25            1          43                2000                         20                0              10          1000          3600         1000                  500                      30           0.1     4    4  X
            3      0.8   1e-06            8       0.25            1          44                2000                         20                0              10          1000          3600         1000                  500                      30           0.1     4    4  Y
            4      0.8   1e-06            8       0.25            1          45                2000                         20                0              10          1000          3600         1000                  500                      30           0.1     4    4  Z
            5      0.8   1e-06            8       0.25            1          46                2000                         20                0              10          1000          3600         1000                  500                      30           0.1     6    6  I
            6      0.8   1e-06            8       0.25            1          47                2000                         20                0              10          1000          3600         1000                  500                      30           0.1     6    6  X
            7      0.8   1e-06            8       0.25            1          48                2000                         20                0              10          1000          3600         1000                  500                      30           0.1     6    6  Y
            8      0.8   1e-06            8       0.25            1          49                2000                         20                0              10          1000          3600         1000                  500                      30           0.1     6    6  Z
            9      0.8   1e-06            8       0.25            1          50                2000                         20                0              10          1000          3600         1000                  500                      30           0.11    4    4  I
           10      0.8   1e-06            8       0.25            1          51                2000                         20                0              10          1000          3600         1000                  500                      30           0.11    4    4  X
           11      0.8   1e-06            8       0.25            1          52                2000                         20                0              10          1000          3600         1000                  500                      30           0.11    4    4  Y
           12      0.8   1e-06            8       0.25            1          53                2000                         20                0              10          1000          3600         1000                  500                      30           0.11    4    4  Z
           13      0.8   1e-06            8       0.25            1          54                2000                         20                0              10          1000          3600         1000                  500                      30           0.11    6    6  I
           14      0.8   1e-06            8       0.25            1          55                2000                         20                0              10          1000          3600         1000                  500                      30           0.11    6    6  X
           15      0.8   1e-06            8       0.25            1          56                2000                         20                0              10          1000          3600         1000                  500                      30           0.11    6    6  Y
           16      0.8   1e-06            8       0.25            1          57                2000                         20                0              10          1000          3600         1000                  500                      30           0.11    6    6  Z
           17      0.8   1e-06            8       0.25            1          58                2000                         20                0              10          1000          3600         1000                  500                      30           0.12    4    4  I
           18      0.8   1e-06            8       0.25            1          59                2000                         20                0              10          1000          3600         1000                  500                      30           0.12    4    4  X
           19      0.8   1e-06            8       0.25            1          60                2000                         20                0              10          1000          3600         1000                  500                      30           0.12    4    4  Y
           20      0.8   1e-06            8       0.25            1          61                2000                         20                0              10          1000          3600         1000                  500                      30           0.12    4    4  Z
           21      0.8   1e-06            8       0.25            1          62                2000                         20                0              10          1000          3600         1000                  500                      30           0.12    6    6  I
