  ArrayTaskID    alpha    beta    walker_wl    overlap_wl    seed_hist    seed_run    num_interactions    replica_exchange_steps    intervals_main    iterations    time_limit    histogram_scale    qubit_specific_noise    num_loops    num_walker_prerun    num_intervals_prerun    error_mean    error_variance    index    prob_x_err    prob_y_err    prob_z_err    x    y    xh_err    xv_err    zh_err    zv_err
            1      0.8   1e-08            4          0.25            1           1                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0        0          0.1          1e-06         1e-06    4    4         0         0         0         0
            2      0.8   1e-08            4          0.25            1           2                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0        1          0.1          1e-06         1e-06    4    4         0         1         0         0
            3      0.8   1e-08            4          0.25            1           3                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0        2          0.1          1e-06         1e-06    4    4         1         0         0         0
            4      0.8   1e-08            4          0.25            1           4                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0        3          0.1          1e-06         1e-06    4    4         1         1         0         0
            5      0.8   1e-08            4          0.25            1           5                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       12          0.1          1e-06         1e-06    6    6         0         0         0         0
            6      0.8   1e-08            4          0.25            1           6                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       13          0.1          1e-06         1e-06    6    6         0         1         0         0
            7      0.8   1e-08            4          0.25            1           7                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       14          0.1          1e-06         1e-06    6    6         1         0         0         0
            8      0.8   1e-08            4          0.25            1           8                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       15          0.1          1e-06         1e-06    6    6         1         1         0         0
            9      0.8   1e-08            4          0.25            1           9                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       16          0.11         1e-06         1e-06    4    4         0         0         0         0
           10      0.8   1e-08            4          0.25            1          10                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       17          0.11         1e-06         1e-06    4    4         0         1         0         0
           11      0.8   1e-08            4          0.25            1          11                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       18          0.11         1e-06         1e-06    4    4         1         0         0         0
           12      0.8   1e-08            4          0.25            1          12                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       19          0.11         1e-06         1e-06    4    4         1         1         0         0
           13      0.8   1e-08            4          0.25            1          13                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       28          0.11         1e-06         1e-06    6    6         0         0         0         0
           14      0.8   1e-08            4          0.25            1          14                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       29          0.11         1e-06         1e-06    6    6         0         1         0         0
