  ArrayTaskID    X    Y    num_iterations     p    alpha    beta    intervals    walker    overlap    seed_hist    seed_run  error      boundary
            1   12   12             10000  0.06      0.8   1e-08           20         5       0.25           43          42  I                 0
            2   12   12             10000  0.06      0.8   1e-08           20         5       0.25           44          42  I                 0
            3   12   12             10000  0.06      0.8   1e-08           20         5       0.25           45          42  I                 0
            4   12   12             10000  0.06      0.8   1e-08           20         5       0.25           46          42  I                 0
            5   12   12             10000  0.06      0.8   1e-08           20         5       0.25           47          42  I                 0
            6   12   12             10000  0.06      0.8   1e-08           20         5       0.25           43          42  X                 0
            7   12   12             10000  0.06      0.8   1e-08           20         5       0.25           44          42  X                 0
            8   12   12             10000  0.06      0.8   1e-08           20         5       0.25           45          42  X                 0
            9   12   12             10000  0.06      0.8   1e-08           20         5       0.25           46          42  X                 0
           10   12   12             10000  0.06      0.8   1e-08           20         5       0.25           47          42  X                 0
           11   12   12             10000  0.1       0.8   1e-08           20         5       0.25           43          42  I                 0
           12   12   12             10000  0.1       0.8   1e-08           20         5       0.25           44          42  I                 0
           13   12   12             10000  0.1       0.8   1e-08           20         5       0.25           45          42  I                 0
           14   12   12             10000  0.1       0.8   1e-08           20         5       0.25           46          42  I                 0
           15   12   12             10000  0.1       0.8   1e-08           20         5       0.25           47          42  I                 0
           16   12   12             10000  0.1       0.8   1e-08           20         5       0.25           43          42  X                 0
           17   12   12             10000  0.1       0.8   1e-08           20         5       0.25           44          42  X                 0
           18   12   12             10000  0.1       0.8   1e-08           20         5       0.25           45          42  X                 0
           19   12   12             10000  0.1       0.8   1e-08           20         5       0.25           46          42  X                 0
           20   12   12             10000  0.1       0.8   1e-08           20         5       0.25           47          42  X                 0
           21   12   12             10000  0.06      0.8   1e-08           20         5       0.25           43          42  I                 1
           22   12   12             10000  0.06      0.8   1e-08           20         5       0.25           44          42  I                 1
           23   12   12             10000  0.06      0.8   1e-08           20         5       0.25           45          42  I                 1
           24   12   12             10000  0.06      0.8   1e-08           20         5       0.25           46          42  I                 1
           25   12   12             10000  0.06      0.8   1e-08           20         5       0.25           47          42  I                 1
           26   12   12             10000  0.06      0.8   1e-08           20         5       0.25           43          42  X                 1
           27   12   12             10000  0.06      0.8   1e-08           20         5       0.25           44          42  X                 1
           28   12   12             10000  0.06      0.8   1e-08           20         5       0.25           45          42  X                 1
           29   12   12             10000  0.06      0.8   1e-08           20         5       0.25           46          42  X                 1
           30   12   12             10000  0.06      0.8   1e-08           20         5       0.25           47          42  X                 1
           31   12   12             10000  0.1       0.8   1e-08           20         5       0.25           43          42  I                 1
           32   12   12             10000  0.1       0.8   1e-08           20         5       0.25           44          42  I                 1
           33   12   12             10000  0.1       0.8   1e-08           20         5       0.25           45          42  I                 1
           34   12   12             10000  0.1       0.8   1e-08           20         5       0.25           46          42  I                 1
           35   12   12             10000  0.1       0.8   1e-08           20         5       0.25           47          42  I                 1
           36   12   12             10000  0.1       0.8   1e-08           20         5       0.25           43          42  X                 1
           37   12   12             10000  0.1       0.8   1e-08           20         5       0.25           44          42  X                 1
           38   12   12             10000  0.1       0.8   1e-08           20         5       0.25           45          42  X                 1
           39   12   12             10000  0.1       0.8   1e-08           20         5       0.25           46          42  X                 1
           40   12   12             10000  0.1       0.8   1e-08           20         5       0.25           47          42  X                 1
