-102 : 4422.1 ,-101 : 0 ,-100 : 0 ,-99 : 0 ,-98 : 4425.92 ,-97 : 0 ,-96 : 0 ,-95 : 0 ,-94 : 4429.1 ,-93 : 0 ,-92 : 0 ,-91 : 0 ,-90 : 4431.86 ,-89 : 0 ,-88 : 0 ,-87 : 0 ,-86 : 4434.48 ,-85 : 0 ,-84 : 0 ,-83 : 0 ,-82 : 4436.94 ,-81 : 0 ,-80 : 0 ,-79 : 0 ,-78 : 4439.34 ,-77 : 0 ,-76 : 0 ,-75 : 0 ,-74 : 4441.59 ,-73 : 0 ,-72 : 0 ,-71 : 0 ,-70 : 4443.75 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 4445.79 ,-65 : 0 ,-64 : 0 ,-63 : 0 ,-62 : 4447.72 ,-61 : 0 ,-60 : 0 ,-59 : 0 ,-58 : 4449.54 ,-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 4451.24 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 4452.84 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 4454.3 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 4455.67 ,-41 : 0 ,-40 : 0 ,
-102 : 4422.1 ,-101 : 0 ,-100 : 0 ,-99 : 0 ,-98 : 4425.92 ,-97 : 0 ,-96 : 0 ,-95 : 0 ,-94 : 4429.1 ,-93 : 0 ,-92 : 0 ,-91 : 0 ,-90 : 4431.86 ,-89 : 0 ,-88 : 0 ,-87 : 0 ,-86 : 4434.48 ,-85 : 0 ,-84 : 0 ,-83 : 0 ,-82 : 4436.94 ,-81 : 0 ,-80 : 0 ,-79 : 0 ,-78 : 4439.34 ,-77 : 0 ,-76 : 0 ,-75 : 0 ,-74 : 4441.59 ,-73 : 0 ,-72 : 0 ,-71 : 0 ,-70 : 4443.75 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 4445.79 ,-65 : 0 ,-64 : 0 ,-63 : 0 ,-62 : 4447.72 ,-61 : 0 ,-60 : 0 ,-59 : 0 ,-58 : 4449.54 ,-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 4451.24 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 4452.84 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 4454.3 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 4455.67 ,-41 : 0 ,-40 : 0 ,
-102 : 4422.1 ,-101 : 0 ,-100 : 0 ,-99 : 0 ,-98 : 4425.92 ,-97 : 0 ,-96 : 0 ,-95 : 0 ,-94 : 4429.1 ,-93 : 0 ,-92 : 0 ,-91 : 0 ,-90 : 4431.86 ,-89 : 0 ,-88 : 0 ,-87 : 0 ,-86 : 4434.48 ,-85 : 0 ,-84 : 0 ,-83 : 0 ,-82 : 4436.94 ,-81 : 0 ,-80 : 0 ,-79 : 0 ,-78 : 4439.34 ,-77 : 0 ,-76 : 0 ,-75 : 0 ,-74 : 4441.59 ,-73 : 0 ,-72 : 0 ,-71 : 0 ,-70 : 4443.75 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 4445.79 ,-65 : 0 ,-64 : 0 ,-63 : 0 ,-62 : 4447.72 ,-61 : 0 ,-60 : 0 ,-59 : 0 ,-58 : 4449.54 ,-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 4451.24 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 4452.84 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 4454.3 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 4455.67 ,-41 : 0 ,-40 : 0 ,
-87 : 0 ,-86 : 1984.92 ,-85 : 0 ,-84 : 0 ,-83 : 0 ,-82 : 1987.4 ,-81 : 0 ,-80 : 0 ,-79 : 0 ,-78 : 1989.78 ,-77 : 0 ,-76 : 0 ,-75 : 0 ,-74 : 1992.07 ,-73 : 0 ,-72 : 0 ,-71 : 0 ,-70 : 1994.24 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 1996.28 ,-65 : 0 ,-64 : 0 ,-63 : 0 ,-62 : 1998.18 ,-61 : 0 ,-60 : 0 ,-59 : 0 ,-58 : 1999.97 ,-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 2001.68 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 2003.25 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 2004.71 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 2006.06 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 2007.31 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 2008.41 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 2009.42 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 2010.29 ,-25 : 0 ,
-87 : 0 ,-86 : 1984.92 ,-85 : 0 ,-84 : 0 ,-83 : 0 ,-82 : 1987.4 ,-81 : 0 ,-80 : 0 ,-79 : 0 ,-78 : 1989.78 ,-77 : 0 ,-76 : 0 ,-75 : 0 ,-74 : 1992.07 ,-73 : 0 ,-72 : 0 ,-71 : 0 ,-70 : 1994.24 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 1996.28 ,-65 : 0 ,-64 : 0 ,-63 : 0 ,-62 : 1998.18 ,-61 : 0 ,-60 : 0 ,-59 : 0 ,-58 : 1999.97 ,-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 2001.68 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 2003.25 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 2004.71 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 2006.06 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 2007.31 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 2008.41 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 2009.42 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 2010.29 ,-25 : 0 ,
-87 : 0 ,-86 : 1984.92 ,-85 : 0 ,-84 : 0 ,-83 : 0 ,-82 : 1987.4 ,-81 : 0 ,-80 : 0 ,-79 : 0 ,-78 : 1989.78 ,-77 : 0 ,-76 : 0 ,-75 : 0 ,-74 : 1992.07 ,-73 : 0 ,-72 : 0 ,-71 : 0 ,-70 : 1994.24 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 1996.28 ,-65 : 0 ,-64 : 0 ,-63 : 0 ,-62 : 1998.18 ,-61 : 0 ,-60 : 0 ,-59 : 0 ,-58 : 1999.97 ,-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 2001.68 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 2003.25 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 2004.71 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 2006.06 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 2007.31 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 2008.41 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 2009.42 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 2010.29 ,-25 : 0 ,
-72 : 0 ,-71 : 0 ,-70 : 1251.57 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 1253.61 ,-65 : 0 ,-64 : 0 ,-63 : 0 ,-62 : 1255.6 ,-61 : 0 ,-60 : 0 ,-59 : 0 ,-58 : 1257.41 ,-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 1259.05 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 1260.64 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 1262.11 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 1263.45 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 1264.69 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 1265.8 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 1266.8 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 1267.64 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1268.4 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1269.03 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1269.54 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1269.91 ,
-72 : 0 ,-71 : 0 ,-70 : 1251.57 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 1253.61 ,-65 : 0 ,-64 : 0 ,-63 : 0 ,-62 : 1255.6 ,-61 : 0 ,-60 : 0 ,-59 : 0 ,-58 : 1257.41 ,-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 1259.05 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 1260.64 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 1262.11 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 1263.45 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 1264.69 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 1265.8 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 1266.8 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 1267.64 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1268.4 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1269.03 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1269.54 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1269.91 ,
-72 : 0 ,-71 : 0 ,-70 : 1251.57 ,-69 : 0 ,-68 : 0 ,-67 : 0 ,-66 : 1253.61 ,-65 : 0 ,-64 : 0 ,-63 : 0 ,-62 : 1255.6 ,-61 : 0 ,-60 : 0 ,-59 : 0 ,-58 : 1257.41 ,-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 1259.05 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 1260.64 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 1262.11 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 1263.45 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 1264.69 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 1265.8 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 1266.8 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 1267.64 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1268.4 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1269.03 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1269.54 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1269.91 ,
-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 1332.72 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 1334.33 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 1335.8 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 1337.16 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 1338.42 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 1339.55 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 1340.55 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 1341.43 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1342.17 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1342.79 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1343.31 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1343.68 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1343.93 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1344.07 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1344.09 ,3 : 0 ,4 : 0 ,5 : 0 ,
-57 : 0 ,-56 : 0 ,-55 : 0 ,-54 : 1332.72 ,-53 : 0 ,-52 : 0 ,-51 : 0 ,-50 : 1334.33 ,-49 : 0 ,-48 : 0 ,-47 : 0 ,-46 : 1335.8 ,-45 : 0 ,-44 : 0 ,-43 : 0 ,-42 : 1337.16 ,-41 : 0 ,-40 : 0 ,-39 : 0 ,-38 : 1338.42 ,-37 : 0 ,-36 : 0 ,-35 : 0 ,-34 : 1339.55 ,-33 : 0 ,-32 : 0 ,-31 : 0 ,-30 : 1340.55 ,-29 : 0 ,-28 : 0 ,-27 : 0 ,-26 : 1341.43 ,-25 : 0 ,-24 : 0 ,-23 : 0 ,-22 : 1342.17 ,-21 : 0 ,-20 : 0 ,-19 : 0 ,-18 : 1342.79 ,-17 : 0 ,-16 : 0 ,-15 : 0 ,-14 : 1343.31 ,-13 : 0 ,-12 : 0 ,-11 : 0 ,-10 : 1343.68 ,-9 : 0 ,-8 : 0 ,-7 : 0 ,-6 : 1343.93 ,-5 : 0 ,-4 : 0 ,-3 : 0 ,-2 : 1344.07 ,-1 : 0 ,0 : 0 ,1 : 0 ,2 : 1344.09 ,3 : 0 ,4 : 0 ,5 : 0 ,
